First Name,Last Name ,Year,Salaries,Rank
Shaquille,O'Neal,2000,17142000,1
Kevin,Garnett,2000,16806000,2
Alonzo,Mourning,2000,15004000,3
Juwan,Howard,2000,15000000,4
Scottie,Pippen,2000,14795000,5
Karl,Malone,2000,14000000,6
Larry,Johnson,2000,11910000,7
Gary,Payton,2000,11020000,8
Rasheed,Wallace,2000,10800000,9
Shawn,Kemp,2000,10780000,10
Damon,Stoudamire,2000,10125000,11
Antonio,McDyess,2000,9900000,12
Ray,Allen,2000,9000000,14
Antoine,Walker,2000,9000000,14
Stephon,Marbury,2000,9000000,14
Vlade,Divac,2000,8837000,16
Bryant,Reeves,2000,8666000,17
Tom,Gugliotta,2000,8558000,18
Nick,Van,2000,8354000,19
Elden,Campbell,2000,7975000,20
Terrell,Brandon,2000,7400000,21
Derrick,Coleman,2000,7370000,22
Glenn,Robinson,2000,7250000,23
Steve,Smith,2000,7200000,24
Kerry,Kittles,2000,7166000,25
Chris,Dudley,2000,7100000,26
Theo,Ratliff,2000,7031000,27
Matt,Geiger,2000,6889000,28
Jason,Kidd,2000,6858000,29
Kenny,Anderson,2000,6680000,30
Tyrone,Hill,2000,6422000,31
Clifford,Robinson,2000,6125000,32
Jamal,Mashburn,2000,5600000,33
Steve,Nash,2000,5500000,34
Alan,Henderson,2000,5318000,35
Donyell,Marshall,2000,5250000,36
Marcus,Camby,2000,5250000,36
Greg,Ostertag,2000,5200000,38
Luc,Longley,2000,5175000,39
P.J.,Brown,2000,5124000,40
Jermaine,O'Neal,2000,5075000,41
Erick,Dampier,2000,4988000,42
Wesley,Person,2000,4900000,43
Isaac,Austin,2000,4819000,44
Loy,Vaught,2000,4810000,45
Derrick,McKey,2000,4800000,47
Robert,Horry,2000,4800000,47
Jim,McIlvaine,2000,4800000,47
Jerry,Stackhouse,2000,4781000,49
Charlie,Ward,2000,4540000,50
Dale,Davis,2000,4490000,51
Lorenzen,Wright,2000,4400000,52
Mookie,Blaylock,2000,4200000,53
Chris,Mills,2000,4200000,53
Chris,Childs,2000,4160000,55
Darrell,Armstrong,2000,4125000,56
Bryon,Russell,2000,4000000,57
Brent,Barry,2000,3960000,58
Jason,Caffey,2000,3937000,59
Vitaly,Potapenko,2000,3810000,60
Bob,Sura,2000,3760000,61
Walt,Williams,2000,3750000,62
Scott,Williams,2000,3750000,62
Sam,Cassell,2000,3500000,64
Michael,Olowokandi,2000,3456000,65
Elton,Brand,2000,3375000,66
Eric,Williams,2000,3336000,67
Travis,Best,2000,3250000,68
Michael,Stewart,2000,3200000,69
Derek,Strong,2000,3159000,70
Mike,Bibby,2000,3092000,71
Rick,Fox,2000,3033000,72
Steve,Francis,2000,3020000,73
Derek,Fisher,2000,3000000,74
Eric,Snow,2000,3000000,74
Ervin,Johnson,2000,2951000,76
Brent,Price,2000,2944000,77
Travis,Knight,2000,2800000,78
Raef,LaFrentz,2000,2777000,79
Tracy,Murray,2000,2720000,80
Tyrone,Nesby,2000,2716000,81
Baron,Davis,2000,2712000,82
Vonteego,Cummings,2000,2600000,83
David,Wesley,2000,2520000,84
Dean,Garrett,2000,2520000,84
Antawn,Jamison,2000,2503000,86
Walter,McCarty,2000,2500000,87
Anthony,Peeler,2000,2495000,88
Lamar,Odom,2000,2445000,89
Cedric,E.,2000,2400000,90
Lawrence,Funderburke,2000,2400000,90
Lindsey,Hunter,2000,2350000,92
Malik,Rose,2000,2285000,93
Vince,Carter,2000,2267000,94
Jonathan,Bender,2000,2214000,95
Dell,Curry,2000,2100000,96
Robert,Traylor,2000,2059000,97
Othella,Harrington,2000,2025000,98
Wally,Szczerbiak,2000,2011000,99
Terry,Porter,2000,2000000,102
Rodney,Rogers,2000,2000000,102
Jamie,Feick,2000,2000000,102
Eric,Montross,2000,2000000,102
Chris,Crawford,2000,2000000,102
Steve,Kerr,2000,1968000,105
Vinny,Del,2000,1925000,106
Sean,Rooks,2000,1920000,107
Lucious,Harris,2000,1920000,107
Jason,Williams,2000,1879000,109
Richard,Hamilton,2000,1836000,110
Larry,Hughes,2000,1722000,111
Andre,Miller,2000,1682000,112
Dirk,Nowitzki,2000,1583000,113
Shawn,Marion,2000,1546000,114
Paul,Pierce,2000,1503000,115
Jason,Terry,2000,1468000,116
Bonzi,Wells,2000,1428000,117
Trajan,Langdon,2000,1394000,118
Aleksandar,Radojevic,2000,1325000,119
Keon,Clark,2000,1289000,120
Corey,Maggette,2000,1259000,121
Michael,Dickerson,2000,1224000,122
Will,Avery,2000,1196000,123
Matt,Harpring,2000,1163000,124
Eldridge,Recasner,2000,1100000,125
Metta,World,2000,1079000,126
Rasho,Nesterovic,2000,1050000,127
Cal,Bowdler,2000,1025000,128
James,Posey,2000,974000,129
Pat,Garrity,2000,952000,130
Quincy,Lewis,2000,930000,131
Roshown,McLeod,2000,914000,132
Dion,Glover,2000,893000,133
Ricky,Davis,2000,878000,134
Greg,Foster,2000,857000,135
Jeff,Foster,2000,857000,135
Brian,Skinner,2000,843000,137
Kenny,Thomas,2000,823000,138
Devean,George,2000,790000,139
Al,Harrington,2000,745000,140
Tim,James,2000,728000,141
Jumaine,Jones,2000,684000,142
Scott,Padgett,2000,679000,143
Rafer,Alston,2000,301000,144
Hakeem,Olajuwon,2000,NA,145
David,Robinson,2000,NA,146
Dikembe,Mutombo,2000,NA,147
Patrick,Ewing,2000,NA,148
Jayson,Williams,2000,NA,149
Tim,Hardaway,2000,NA,150
Chris,Webber,2000,NA,151
Arvydas,Sabonis,2000,NA,152
John,Stockton,2000,NA,153
Reggie,Miller,2000,NA,154
Zydrunas,Ilgauskas,2000,NA,155
Kobe,Bryant,2000,NA,156
Shareef,Abdur-Rahim,2000,NA,157
Vin,Baker,2000,NA,158
Allen,Iverson,2000,NA,159
Anfernee,Hardaway,2000,NA,160
Latrell,Sprewell,2000,NA,161
Mitch,Richmond,2000,NA,162
Rod,Strickland,2000,NA,163
Jalen,Rose,2000,NA,164
Grant,Hill,2000,NA,165
Tracy,McGrady,2000,NA,166
Tim,Duncan,2000,NA,167
Keith,Van,2000,NA,168
Allan,Houston,2000,NA,169
Eddie,Jones,2000,NA,170
Brian,Grant,2000,NA,171
Tim,Thomas,2000,NA,172
Michael,Finley,2000,NA,173
Shawn,Bradley,2000,NA,174
Danny,Manning,2000,NA,175
Avery,Johnson,2000,NA,176
Glen,Rice,2000,NA,177
Kendall,Gill,2000,NA,178
Christian,Laettner,2000,NA,179
Horace,Grant,2000,NA,180
Toni,Kukoc,2000,NA,181
Bryant,Stith,2000,NA,182
Charles,Oakley,2000,NA,183
PJ,Brown,2000,NA,184
Chris,Gatling,2000,NA,185
Anthony,Mason,2000,NA,186
Ron,Mercer,2000,NA,187
Antonio,Davis,2000,NA,188
Kelvin,Cato,2000,NA,189
Austin,Croshere,2000,NA,190
Sean,Elliott,2000,NA,191
Hersey,Hawkins,2000,NA,192
Chris,Mullin,2000,NA,193
Bobby,Phills,2000,NA,194
Tariq,Abdul-Wahad,2000,NA,195
Bo,Outlaw,2000,NA,196
Robert,Pack,2000,NA,197
Brevin,Knight,2000,NA,198
Howard,Eisley,2000,NA,199
Dan,Majerle,2000,NA,200
Brad,Miller,2000,NA,201
Ben,Wallace,2000,NA,202
Duane,Causwell,2000,NA,203
Danny,Fortson,2000,NA,204
Corliss,Williamson,2000,NA,205
Cedric,Ceballos,2000,NA,206
Jahidi,White,2000,NA,207
Cuttino,Mobley,2000,NA,208
Rashard,Lewis,2000,NA,209
Scot,Pollard,2000,NA,210
Voshon,Lenard,2000,NA,211
Nick,Anderson,2000,NA,212
Dana,Barros,2000,NA,213
Doug,West,2000,NA,214
Kurt,Thomas,2000,NA,215
Adonal,Foyle,2000,NA,216
Mark,Jackson,2000,NA,217
Kenyon,Martin,2000,NA,218
Rex,Chapman,2000,NA,219
Greg,Anthony,2000,NA,220
Adam,Keefe,2000,NA,221
Lamond,Murray,2000,NA,222
Jud,Buechler,2000,NA,223
Greg,Minor,2000,NA,224
Tony,Battie,2000,NA,225
Don,MacLean,2000,NA,226
Stromile,Swift,2000,NA,227
Doug,Christie,2000,NA,228
Mark,Bryant,2000,NA,229
Chucky,Atkins,2000,NA,230
Samaki,Walker,2000,NA,231
Jerome,Williams,2000,NA,232
Kevin,Willis,2000,NA,233
Mikki,Moore,2000,NA,234
